order_purchase_timestamp,original,diff_1,diff_2
2017-01-01,0.0,,
2017-01-08,45.0,45.0,
2017-01-15,83.0,38.0,-7.0
2017-01-22,233.0,150.0,112.0
2017-01-29,400.0,167.0,17.0
2017-02-05,500.0,100.0,-67.0
2017-02-12,562.0,62.0,-38.0
2017-02-19,434.0,-128.0,-190.0
2017-02-26,398.0,-36.0,92.0
2017-03-05,534.0,136.0,172.0
2017-03-12,637.0,103.0,-33.0
2017-03-19,669.0,32.0,-71.0
2017-03-26,709.0,40.0,8.0
2017-04-02,609.0,-100.0,-140.0
2017-04-09,620.0,11.0,111.0
2017-04-16,456.0,-164.0,-175.0
2017-04-23,617.0,161.0,325.0
2017-04-30,731.0,114.0,-47.0
2017-05-07,840.0,109.0,-5.0
2017-05-14,855.0,15.0,-94.0
2017-05-21,1032.0,177.0,162.0
2017-05-28,857.0,-175.0,-352.0
2017-06-04,890.0,33.0,208.0
2017-06-11,912.0,22.0,-11.0
2017-06-18,824.0,-88.0,-110.0
2017-06-25,708.0,-116.0,-28.0
2017-07-02,780.0,72.0,188.0
2017-07-09,887.0,107.0,35.0
2017-07-16,1067.0,180.0,73.0
2017-07-23,1079.0,12.0,-168.0
2017-07-30,1015.0,-64.0,-76.0
2017-08-06,1073.0,58.0,122.0
2017-08-13,1043.0,-30.0,-88.0
2017-08-20,1136.0,93.0,123.0
2017-08-27,1027.0,-109.0,-202.0
2017-09-03,1114.0,87.0,196.0
2017-09-10,991.0,-123.0,-210.0
2017-09-17,1280.0,289.0,412.0
2017-09-24,1110.0,-170.0,-459.0
2017-10-01,1062.0,-48.0,122.0
2017-10-08,1119.0,57.0,105.0
2017-10-15,1167.0,48.0,-9.0
2017-10-22,1309.0,142.0,94.0
2017-10-29,1125.0,-184.0,-326.0
2017-11-05,1077.0,-48.0,136.0
2017-11-12,1320.0,243.0,291.0
2017-11-19,1458.0,138.0,-105.0
2017-11-26,3428.0,1970.0,1832.0
2017-12-03,2340.0,-1088.0,-3058.0
2017-12-10,1844.0,-496.0,592.0
2017-12-17,1537.0,-307.0,189.0
2017-12-24,1068.0,-469.0,-162.0
2017-12-31,943.0,-125.0,344.0
2018-01-07,1528.0,585.0,710.0
2018-01-14,1964.0,436.0,-149.0
2018-01-21,1923.0,-41.0,-477.0
2018-01-28,1756.0,-167.0,-126.0
2018-02-04,1801.0,45.0,212.0
2018-02-11,1732.0,-69.0,-114.0
2018-02-18,1842.0,110.0,179.0
2018-02-25,1971.0,129.0,19.0
2018-03-04,2112.0,141.0,12.0
2018-03-11,1821.0,-291.0,-432.0
2018-03-18,1749.0,-72.0,219.0
2018-03-25,1953.0,204.0,276.0
2018-04-01,1646.0,-307.0,-511.0
2018-04-08,1763.0,117.0,424.0
2018-04-15,1771.0,8.0,-109.0
2018-04-22,1899.0,128.0,120.0
2018-04-29,1888.0,-11.0,-139.0
2018-05-06,1995.0,107.0,118.0
2018-05-13,2257.0,262.0,155.0
2018-05-20,2104.0,-153.0,-415.0
2018-05-27,1095.0,-1009.0,-856.0
2018-06-03,1221.0,126.0,1135.0
2018-06-10,1662.0,441.0,315.0
2018-06-17,1711.0,49.0,-392.0
2018-06-24,1635.0,-76.0,-125.0
2018-07-01,1598.0,-37.0,39.0
2018-07-08,1325.0,-273.0,-236.0
2018-07-15,1075.0,-250.0,23.0
2018-07-22,1843.0,768.0,1018.0
2018-07-29,1861.0,18.0,-750.0
2018-08-05,675.0,-1186.0,-1204.0
