geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1037,-23.5456212811527,-46.6392920480017,sao paulo,SP
1046,-23.5460811270355,-46.6448202983716,sao paulo,SP
1046,-23.5461289664147,-46.6429514836114,sao paulo,SP
1041,-23.5443921648681,-46.6394993062784,sao paulo,SP
1035,-23.5415779617115,-46.6416072232961,sao paulo,SP
1012,-23.5477623033643,-46.6353605378845,são paulo,SP
1047,-23.5462731124127,-46.6412251697155,sao paulo,SP
1013,-23.5469232084367,-46.6342636964915,sao paulo,SP
1029,-23.5437690557691,-46.6342778408513,sao paulo,SP
1011,-23.5476395503206,-46.636031623155,sao paulo,SP
1013,-23.5473251282244,-46.6341837861389,sao paulo,SP
1032,-23.5384181040741,-46.6347783752667,sao paulo,SP
1014,-23.5464353433262,-46.633830233972,sao paulo,SP
1012,-23.5489459851894,-46.6346711329287,sao paulo,SP
1037,-23.545187340816,-46.6378552410411,são paulo,SP
1046,-23.5460811270355,-46.6448202983716,sao paulo,SP
1039,-23.5418830099833,-46.6399194667031,sao paulo,SP
1024,-23.5413895210539,-46.6298990878122,são paulo,SP
1009,-23.54693540438,-46.636587926597,sao paulo,SP
1046,-23.545884279214,-46.64316319124,sao paulo,SP
1046,-23.5451658917709,-46.6437857962665,sao paulo,SP
1020,-23.5522354710023,-46.6284406588955,são paulo,SP
1011,-23.5466904869649,-46.6354469588072,são paulo,SP
1043,-23.546656718016,-46.6407876211552,são paulo,SP
1050,-23.5497735165042,-46.6455990066651,sao paulo,SP
1045,-23.5415937629696,-46.6418937881008,sao paulo,SP
1009,-23.5454295334411,-46.6357153143285,sao paulo,SP
1007,-23.5503925248427,-46.6373016407178,sao paulo,SP
1032,-23.5398418758395,-46.6351479769153,são paulo,SP
1041,-23.5435394490738,-46.6405773105776,sao paulo,SP
1005,-23.5498190918691,-46.6356058899532,sao paulo,SP
1037,-23.546704599775,-46.6403363325062,são paulo,SP
1017,-23.5500109119974,-46.6311663691499,são paulo,SP
1046,-23.5453201193376,-46.6440686343412,sao paulo,SP
1019,-23.5521518834324,-46.6308022471579,sao paulo,SP
1032,-23.5407746888741,-46.6355148430378,sao paulo,SP
1017,-23.5492954052167,-46.6320746951065,sao paulo,SP
1050,-23.5490094060534,-46.6428122818397,sao paulo,SP
1050,-23.5487555939466,-46.6427892037335,sao paulo,SP
1027,-23.5383011668013,-46.6307639110451,sao paulo,SP
1050,-23.5498541806798,-46.6431393969068,sao paulo,SP
1013,-23.5471192492354,-46.6342326994057,sao paulo,SP
1033,-23.5403213047493,-46.6363948159733,sao paulo,SP
1009,-23.5456915392695,-46.6358660614864,sao paulo,SP
1046,-23.5460811270355,-46.6448202983716,sao paulo,SP
1050,-23.5487476625022,-46.6423913670438,sao paulo,SP
1032,-23.5411914765423,-46.6349934605863,sao paulo,SP
1020,-23.5525494965375,-46.6316315255352,sao paulo,SP
1006,-23.5505243083559,-46.6366936383519,sao paulo,SP
