,Predicted_Order_Count,Lower_CI,Upper_CI
2018-08-12,-222.14989474040658,-496.30965271667384,52.00986323586068
2018-08-19,-634.8205107096974,-1153.1329476462652,-116.5080737731297
2018-08-26,-583.8936430561275,-1323.1480501979172,155.36076408566203
2018-09-02,-521.6523992048851,-1423.8542992151015,380.54950080533115
2018-09-09,-519.7539729536907,-1553.2521653169354,513.744219409554
2018-09-16,-527.8023869365288,-1677.4845290813985,621.8797552083408
2018-09-23,-529.181083230922,-1785.0104483664832,726.6482819046391
2018-09-30,-528.2987585267197,-1882.0894116613624,825.4918946079231
2018-10-07,-527.9912574873188,-1973.0543581325603,917.0718431579228
2018-10-14,-528.0661263261909,-2058.9480398398764,1002.8157871874948
2018-10-21,-528.1176665989979,-2140.2611952358357,1084.0258620378397
2018-10-28,-528.1148710777757,-2217.619251356082,1161.3895092005307
