date,order_count,type
2017-01-01,0.0,History
2017-01-08,45.0,History
2017-01-15,83.0,History
2017-01-22,233.0,History
2017-01-29,400.0,History
2017-02-05,500.0,History
2017-02-12,562.0,History
2017-02-19,434.0,History
2017-02-26,398.0,History
2017-03-05,534.0,History
2017-03-12,637.0,History
2017-03-19,669.0,History
2017-03-26,709.0,History
2017-04-02,609.0,History
2017-04-09,620.0,History
2017-04-16,456.0,History
2017-04-23,617.0,History
2017-04-30,731.0,History
2017-05-07,840.0,History
2017-05-14,855.0,History
2017-05-21,1032.0,History
2017-05-28,857.0,History
2017-06-04,890.0,History
2017-06-11,912.0,History
2017-06-18,824.0,History
2017-06-25,708.0,History
2017-07-02,780.0,History
2017-07-09,887.0,History
2017-07-16,1067.0,History
2017-07-23,1079.0,History
2017-07-30,1015.0,History
2017-08-06,1073.0,History
2017-08-13,1043.0,History
2017-08-20,1136.0,History
2017-08-27,1027.0,History
2017-09-03,1114.0,History
2017-09-10,991.0,History
2017-09-17,1280.0,History
2017-09-24,1110.0,History
2017-10-01,1062.0,History
2017-10-08,1119.0,History
2017-10-15,1167.0,History
2017-10-22,1309.0,History
2017-10-29,1125.0,History
2017-11-05,1077.0,History
2017-11-12,1320.0,History
2017-11-19,1458.0,History
2017-11-26,3428.0,History
2017-12-03,2340.0,History
2017-12-10,1844.0,History
2017-12-17,1537.0,History
2017-12-24,1068.0,History
2017-12-31,943.0,History
2018-01-07,1528.0,History
2018-01-14,1964.0,History
2018-01-21,1923.0,History
2018-01-28,1756.0,History
2018-02-04,1801.0,History
2018-02-11,1732.0,History
2018-02-18,1842.0,History
2018-02-25,1971.0,History
2018-03-04,2112.0,History
2018-03-11,1821.0,History
2018-03-18,1749.0,History
2018-03-25,1953.0,History
2018-04-01,1646.0,History
2018-04-08,1763.0,History
2018-04-15,1771.0,History
2018-04-22,1899.0,History
2018-04-29,1888.0,History
2018-05-06,1995.0,History
2018-05-13,2257.0,History
2018-05-20,2104.0,History
2018-05-27,1095.0,History
2018-06-03,1221.0,History
2018-06-10,1662.0,History
2018-06-17,1711.0,History
2018-06-24,1635.0,History
2018-07-01,1598.0,History
2018-07-08,1325.0,History
2018-07-15,1075.0,History
2018-07-22,1843.0,History
2018-07-29,1861.0,History
2018-08-05,2255.0,History
2018-08-12,2211.0,History
2018-08-19,2032.0,History
2018-08-26,1187.0,History
2018-09-02,132.0,History
2018-09-09,294.1014991724538,Forecast
2018-09-16,347.5137571138242,Forecast
2018-09-23,444.3377080098773,Forecast
2018-09-30,358.3595948594811,Forecast
2018-10-07,324.2641533971552,Forecast
2018-10-14,485.36246963114917,Forecast
2018-10-21,517.4382506592594,Forecast
2018-10-28,931.1450935263194,Forecast
2018-11-04,742.9605393237778,Forecast
2018-11-11,542.0450973705834,Forecast
2018-11-18,348.18935794111485,Forecast
2018-11-25,198.76589933558222,Forecast
