customer_state,total_orders,avg_freight_value,avg_lead_time_days,total_late_orders,late_rate_percent
AC,91,40.04791208791209,20.32967032967033,3,3.296703296703297
AL,427,35.87065573770492,23.992974238875878,89,20.843091334894616
AM,163,33.31061349693252,25.96319018404908,5,3.067484662576687
AP,81,34.160493827160494,27.753086419753085,3,3.7037037037037033
BA,3683,26.487556339940266,18.77464023893565,438,11.892478957371708
CE,1426,32.73449509116409,20.537166900420758,194,13.604488078541374
DF,2355,21.07216135881104,12.501486199575371,141,5.987261146496816
ES,2225,22.0289797752809,15.192808988764044,239,10.741573033707866
GO,2277,22.562867808519982,14.948177426438296,142,6.236275801493193
MA,800,38.492712499999996,21.20375,144,18.0
MG,12916,20.626342520904306,11.514091049860639,565,4.374419324868381
MS,811,23.350900123304566,15.10727496917386,73,9.001233045622687
MT,1037,27.996914175506266,17.508196721311474,63,6.075216972034716
PA,1054,35.62901328273245,23.301707779886147,119,11.29032258064516
PB,586,43.09168941979522,20.119453924914676,63,10.750853242320819
PE,1746,32.693333333333335,17.79209621993127,159,9.106529209621993
PI,523,39.11508604206501,18.931166347992352,71,13.575525812619501
PR,5649,20.47181625066383,11.480793060718712,219,3.8767923526287835
RJ,14143,20.911436046100544,14.688821325037122,1644,11.624125008838295
RN,521,35.71808061420345,18.87332053742802,47,9.021113243761997
RO,273,41.33054945054945,19.28205128205128,11,4.029304029304029
RR,46,43.08804347826087,27.82608695652174,5,10.869565217391305
RS,6133,21.61427034077939,14.708299364095875,358,5.8372737648785264
SC,4097,21.507359043202342,14.517207712960703,335,8.176714669270197
SE,375,36.57317333333334,20.978666666666665,61,16.266666666666666
SP,46441,15.114989987295708,8.2596627979587,2043,4.399130079024999
TO,310,37.43503225806452,17.003225806451614,30,9.67741935483871
