,Predicted_Order_Count,Lower_CI,Upper_CI
2018-08-12,-329.0944816512824,-714.0087049955939,55.81974169302913
2018-08-19,-413.37239170593966,-1191.7908045357563,365.0460211238768
2018-08-26,-504.69065893576,-1569.5533479700048,560.1720300984848
2018-09-02,-647.6812234479839,-1946.8787386532806,651.5162917573127
2018-09-09,-592.185407101807,-2091.527083442043,907.1562692384291
2018-09-16,-540.3619112545766,-2216.64658520764,1135.9227626984868
2018-09-23,-516.6084047597647,-2352.989525498561,1319.7727159790315
2018-09-30,-606.8309697946884,-2590.4609151086574,1376.7989755192807
2018-10-07,-605.1298545567315,-2725.8168800247317,1515.5571709112687
2018-10-14,-567.6535923442875,-2817.0642351071638,1681.7570504185887
2018-10-21,-585.0437162161184,-2956.2007008325045,1786.1132684002678
2018-10-28,-589.5241702233757,-3076.4747737524594,1897.426433305708
