keyword_pt,tfidf_score,translation_en,review_type
bom,1243.3046558211497,good,Positive (5-star)
produto,1208.1884768343023,product,Positive (5-star)
recomendo,917.6809892505246,recommend,Positive (5-star)
prazo,889.3075748932366,term,Positive (5-star)
antes,761.5807364636813,before,Positive (5-star)
entrega,735.9916087718723,delivery,Positive (5-star)
chegou,632.715493158079,it arrived,Positive (5-star)
antes prazo,626.2186666862972,before deadline,Positive (5-star)
ótimo,612.0282002515667,excellent,Positive (5-star)
excelente,605.3010565019662,excellent,Positive (5-star)
tudo,542.2646895824734,all,Positive (5-star)
bem,444.93304089703247,good,Positive (5-star)
qualidade,427.94363128202014,quality,Positive (5-star)
entregue,419.92260110215153,delivered,Positive (5-star)
gostei,418.44317607281135,I liked,Positive (5-star)
super,369.78414451116817,super,Positive (5-star)
otimo,345.72981011844405,excellent,Positive (5-star)
rápida,339.6359109011703,quick,Positive (5-star)
loja,327.482399899293,store,Positive (5-star)
chegou antes,325.975445862534,arrived before,Positive (5-star)
adorei,284.7766043341707,I loved,Positive (5-star)
boa,283.5543079202397,good,Positive (5-star)
recebi,283.5159378257473,I received,Positive (5-star)
perfeito,274.25249072389516,perfect,Positive (5-star)
parabéns,271.18928423928537,congratulations,Positive (5-star)
produto chegou,265.3241756088496,product arrived,Positive (5-star)
ótima,263.11754514405726,excellent,Positive (5-star)
chegou antes prazo,261.2809994876758,arrived before deadline,Positive (5-star)
compra,257.5171124710168,buy,Positive (5-star)
rápido,255.75659241098904,fast,Positive (5-star)
entrega rápida,250.04026225818092,fast delivery,Positive (5-star)
produto entregue,239.0113212533177,product delivered,Positive (5-star)
dentro,234.7355222376558,within,Positive (5-star)
amei,229.7725821633101,I loved,Positive (5-star)
ótimo produto,217.51295849809242,great product,Positive (5-star)
satisfeita,216.78952615476345,satisfied,Positive (5-star)
sempre,212.34687032469034,always,Positive (5-star)
satisfeito,211.69072131939745,satisfied,Positive (5-star)
produto bom,201.35040317673534,good product,Positive (5-star)
atendimento,200.29465973913275,service,Positive (5-star)
bem antes,198.23564759648656,well before,Positive (5-star)
lindo,197.38065785413465,beautiful,Positive (5-star)
veio,195.75269099673108,he came,Positive (5-star)
entregue antes,191.94351716525685,delivered before,Positive (5-star)
certo,187.50153811707128,right,Positive (5-star)
dentro prazo,185.65716555981373,within deadline,Positive (5-star)
comprar,181.35157708943777,buy,Positive (5-star)
previsto,178.12042603532205,predicted,Positive (5-star)
super recomendo,174.90461727536666,I highly recommend,Positive (5-star)
conforme,167.8516738905344,according to,Positive (5-star)
produto,652.3097392909243,product,Negative (1-star)
recebi,510.7112752186138,I received,Negative (1-star)
recebi produto,294.154242340414,I received product,Negative (1-star)
comprei,281.33162827298816,I bought,Negative (1-star)
ainda,264.70402548672394,yet,Negative (1-star)
entregue,259.6943839378237,delivered,Negative (1-star)
veio,239.74449842474885,he came,Negative (1-star)
entrega,229.91963604091546,delivery,Negative (1-star)
chegou,225.49684850864818,it arrived,Negative (1-star)
nao,202.46797066847967,no,Negative (1-star)
prazo,156.80060500403542,term,Negative (1-star)
compra,154.07452516565726,buy,Negative (1-star)
pedido,151.93095291015598,order,Negative (1-star)
loja,143.79197627877505,store,Negative (1-star)
agora,139.89522239219986,now,Negative (1-star)
dia,131.45944306794468,day,Negative (1-star)
produto entregue,127.2928142339309,product delivered,Negative (1-star)
nada,116.21353058398178,nothing,Negative (1-star)
ainda recebi,112.97330687870794,I still received,Negative (1-star)
apenas,110.7817280236559,just,Negative (1-star)
quero,109.93695635276136,I want,Negative (1-star)
produtos,102.09150713604056,products,Negative (1-star)
aguardando,101.88680344922987,waiting,Negative (1-star)
dois,101.17990687654235,two,Negative (1-star)
site,97.67380530091542,website,Negative (1-star)
pois,92.45789161741455,then,Negative (1-star)
lannister,91.25979908061439,Lannister,Negative (1-star)
momento,91.1476791835277,moment,Negative (1-star)
dias,90.82945742119587,days,Negative (1-star)
outro,88.11027014402615,other,Negative (1-star)
contato,87.92724851374771,contact,Negative (1-star)
produto chegou,87.25893990269083,product arrived,Negative (1-star)
qualidade,87.12156056466378,quality,Negative (1-star)
produto veio,85.54200937406708,product came,Negative (1-star)
recomendo,84.2694229979126,recommend,Negative (1-star)
pra,81.28756524227086,for,Negative (1-star)
nao recebi,76.97106778159677,I didn't receive it,Negative (1-star)
entregaram,76.88508946006915,delivered,Negative (1-star)
paguei,76.85169740016755,I paid,Negative (1-star)
aguardo,76.41430490733461,I wait,Negative (1-star)
fiz,75.80543123706246,I did,Negative (1-star)
dinheiro,74.93803755078166,money,Negative (1-star)
retorno,74.25129635263328,return,Negative (1-star)
resposta,74.14623797175429,response,Negative (1-star)
mercadoria,73.93080338935643,merchandise,Negative (1-star)
duas,73.62988116435136,two,Negative (1-star)
correios,73.40575766236853,mail,Negative (1-star)
nota,73.11093427010027,notice,Negative (1-star)
pedi,72.6947472784242,I asked,Negative (1-star)
receber,71.9713496737592,to receive,Negative (1-star)
