date,localName,name
2016-01-01,Confraternização Universal,New Year's Day
2016-02-08,Carnaval,Carnival
2016-02-09,Carnaval,Carnival
2016-03-25,Sexta-feira Santa,Good Friday
2016-03-27,Domingo de Páscoa,Easter Sunday
2016-04-21,Dia de Tiradentes,Tiradentes
2016-05-01,Dia do Trabalhador,Labour Day
2016-05-26,Corpus Christi,Corpus Christi
2016-07-09,Revolução Constitucionalista de 1932,Constitutionalist Revolution of 1932
2016-09-07,Dia da Independência,Independence Day
2016-10-12,Nossa Senhora Aparecida,Our Lady of Aparecida
2016-11-02,Dia de Finados,All Souls' Day
2016-11-15,Proclamação da República,Republic Proclamation Day
2016-12-25,Natal,Christmas Day
2017-01-01,Confraternização Universal,New Year's Day
2017-02-27,Carnaval,Carnival
2017-02-28,Carnaval,Carnival
2017-04-14,Sexta-feira Santa,Good Friday
2017-04-16,Domingo de Páscoa,Easter Sunday
2017-04-21,Dia de Tiradentes,Tiradentes
2017-05-01,Dia do Trabalhador,Labour Day
2017-06-15,Corpus Christi,Corpus Christi
2017-07-09,Revolução Constitucionalista de 1932,Constitutionalist Revolution of 1932
2017-09-07,Dia da Independência,Independence Day
2017-10-12,Nossa Senhora Aparecida,Our Lady of Aparecida
2017-11-02,Dia de Finados,All Souls' Day
2017-11-15,Proclamação da República,Republic Proclamation Day
2017-12-25,Natal,Christmas Day
2018-01-01,Confraternização Universal,New Year's Day
2018-02-12,Carnaval,Carnival
2018-02-13,Carnaval,Carnival
2018-03-30,Sexta-feira Santa,Good Friday
2018-04-01,Domingo de Páscoa,Easter Sunday
2018-04-21,Dia de Tiradentes,Tiradentes
2018-05-01,Dia do Trabalhador,Labour Day
2018-05-31,Corpus Christi,Corpus Christi
2018-07-09,Revolução Constitucionalista de 1932,Constitutionalist Revolution of 1932
2018-09-07,Dia da Independência,Independence Day
2018-10-12,Nossa Senhora Aparecida,Our Lady of Aparecida
2018-11-02,Dia de Finados,All Souls' Day
2018-11-15,Proclamação da República,Republic Proclamation Day
2018-12-25,Natal,Christmas Day
