state,city,total_orders,total_revenue,avg_freight
AC,brasileia,1,59.699999999999996,26.61
AC,cruzeiro do sul,3,957.79,56.42333333333334
AC,epitaciolandia,1,92.34,47.18
AC,manoel urbano,1,194.99,53.72
AC,porto acre,1,74.9,29.45
AC,rio branco,70,13904.32,38.63115384615384
AC,senador guiomard,2,409.98,45.70333333333334
AC,xapuri,2,288.93,78.48
AL,agua branca,1,63.8,34.15
AL,anadia,2,379.89,41.355000000000004
AL,arapiraca,29,8728.71,41.80352941176471
AL,atalaia,1,89.58,48.07
AL,barra de santo antonio,2,567.0,31.06
AL,barra de sao miguel,2,155.98000000000002,35.33
AL,batalha,3,214.79000000000002,31.103333333333335
AL,belem,3,568.99,29.16
AL,boca da mata,2,219.73000000000002,39.150000000000006
AL,cacimbinhas,1,32.5,20.8
AL,cajueiro,1,99.9,38.25
AL,campo alegre,2,919.1,39.43
AL,canapi,1,230.0,147.32
AL,coite do noia,1,89.9,21.11
AL,colonia leopoldina,2,477.98,17.956666666666667
AL,coruripe,3,1222.3,45.596666666666664
AL,delmiro gouveia,4,1125.8,37.985
AL,dois riachos,1,104.99,47.26
AL,feliz deserto,2,309.89,56.93
AL,girau do ponciano,1,39.9,34.15
AL,ibateguara,2,75.9,38.480000000000004
AL,igaci,2,319.89,37.555
AL,igreja nova,2,208.0,53.955
AL,inhapi,2,979.9,47.599999999999994
AL,jequia da praia,2,251.91,49.665
AL,junqueiro,2,360.89,51.760000000000005
AL,lagoa da canoa,1,160.99,43.54
AL,luziapolis,1,129.99,51.63
AL,maceio,247,44702.48,32.213846153846156
AL,mar vermelho,2,519.98,84.52
AL,maragogi,5,1897.05,47.696
AL,maravilha,2,214.8,41.370000000000005
AL,marechal deodoro,1,349.9,29.3
AL,maribondo,1,49.9,51.07
AL,mata grande,2,378.65,30.23333333333333
AL,matriz de camaragibe,1,64.0,20.9
AL,monteiropolis,1,159.9,43.53
AL,murici,1,49.9,34.15
AL,novo lino,1,79.9,34.36
AL,olho d'agua das flores,3,254.48,30.53
AL,palmeira dos indios,8,1094.41,46.131249999999994
AL,paripueira,1,349.9,29.3
AL,passo de camaragibe,1,41.98,34.15
AL,pau d'arco,1,92.9,58.08
AL,paulo jacinto,2,368.89,53.345
AL,penedo,8,1239.8700000000001,44.099999999999994
AL,piacabucu,2,228.9,45.75
AL,pilar,3,99.7,22.886666666666667
AL,pindoba,2,432.0,55.26
AL,porto calvo,2,323.39,37.269999999999996
AL,porto de pedras,1,179.9,20.45
AL,rio largo,6,562.71,21.721666666666664
AL,santa luzia do norte,1,23.8,21.15
AL,santana do ipanema,1,249.9,35.55
AL,santana do mundau,3,1052.8,53.802499999999995
AL,sao bras,1,29.9,24.84
AL,sao jose da laje,2,219.9,38.230000000000004
AL,sao jose da tapera,1,109.9,34.57
AL,sao luis do quitunde,2,239.3,56.125
AL,sao miguel dos campos,2,813.36,48.15
AL,sao sebastiao,1,2159.98,55.0
AL,satuba,2,333.73,52.295
AL,tanque d'arca,2,578.0,16.77
AL,taquarana,1,146.99,43.44
AL,teotonio vilela,8,2168.68,39.154545454545456
AL,traipu,1,42.99,20.8
AL,uniao dos palmares,2,259.99,49.26
AL,vicosa,1,21.9,34.15
AM,coari,1,1190.65,68.39
AM,humaita,4,285.85,40.465
AM,itacoatiara,1,57.98,17.5
AM,manaus,140,20652.56,32.95192307692308
AM,urucurituba,2,169.8,36.57
AP,laranjal do jari,2,318.8,35.79333333333333
AP,macapa,54,11451.92,35.711451612903225
AP,oiapoque,1,385.0,40.24
AP,porto grande,1,29.99,34.15
AP,santana,9,1202.6399999999999,24.37857142857143
AP,vitoria do jari,1,85.95,51.32
BA,abaira,2,157.99,22.505
BA,abare,2,185.19,19.77
BA,abrantes,2,678.0,41.68
BA,acajutiba,1,28.89,22.06
BA,adustina,1,74.8,27.47
BA,alagoinhas,40,6249.2300000000005,27.42093023255814
BA,alcobaca,4,1289.78,48.03
BA,amargosa,1,54.99,16.82
BA,amelia rodrigues,3,372.39,19.209999999999997
BA,america dourada,1,169.9,48.02
BA,anage,1,63.8,16.79
BA,andarai,1,79.9,29.6
BA,andorinha,5,691.1,21.302
BA,angical,1,269.9,23.6
BA,anguera,1,99.0,45.99
BA,antonio cardoso,2,369.89,35.015
BA,antonio goncalves,1,34.9,16.79
BA,apora,1,44.9,20.8
BA,apuarema,1,169.99,34.39
BA,aracatu,1,75.99,19.77
BA,araci,3,277.87,20.0925
BA,aramari,2,167.4,27.58
BA,arataca,1,795.0,70.78
BA,arembepe,2,429.7,21.453333333333333
BA,aribice,1,42.0,34.15
BA,arraial d ajuda,1,72.62,18.08
BA,arraial d'ajuda,8,779.42,24.55625
BA,baianopolis,2,416.3,38.49
BA,baixa grande,1,44.0,22.24
BA,banzae,1,99.99,27.43
BA,barra,2,143.9,25.47
BA,barra da estiva,7,860.57,23.567777777777778
BA,barra do choca,3,799.0,26.16333333333333
BA,barra do mendes,3,323.99,19.763333333333332
BA,barra do tarrachil,3,272.9,29.013333333333335
BA,barreiras,52,11043.93,32.234406779661015
BA,barro alto,2,91.99,20.095
BA,barro preto,1,118.8,27.78
BA,barrocas,1,99.99,18.27
BA,belmonte,1,37.99,22.06
BA,belo campo,3,174.47,27.723333333333333
BA,biritinga,1,120.0,27.57
BA,bom jesus da lapa,9,2829.63,29.46
BA,bom jesus da serra,2,279.89,21.200000000000003
BA,boninal,2,717.6999999999999,64.03333333333335
BA,bonito,2,378.8,28.225
BA,boquira,1,69.9,25.77
BA,botupora,1,325.0,21.51
BA,brejoes,1,124.9,18.44
BA,brejolandia,1,13.98,20.8
BA,brotas de macaubas,1,168.0,17.62
BA,brumado,22,2748.75,25.015172413793106
BA,buerarema,4,1420.8,22.38
BA,buritirama,2,251.9,17.105
BA,cabaceiras do paraguacu,1,31.9,16.79
BA,cachoeira,4,479.79,23.48
BA,cacule,3,529.78,21.3175
BA,caem,1,57.9,22.12
BA,caetanos,1,0.0,
BA,caetite,10,1892.3,40.815
BA,cairu,1,58.99,19.65
BA,caldas do jorro,1,370.0,24.52
BA,caldeirao grande,3,354.8,20.816666666666666
BA,camacan,6,1134.67,19.247142857142858
BA,camacari,61,7294.22,20.075333333333333
BA,camamu,9,1506.82,43.410000000000004
BA,campo alegre de lourdes,1,99.99,24.9
BA,campo formoso,10,3419.13,57.74636363636364
BA,canapolis,1,13.65,16.79
BA,canarana,1,107.9,22.69
BA,canavieiras,6,799.8,36.248333333333335
BA,candeal,1,144.99,31.66
BA,candeias,13,1214.17,27.036923076923074
BA,candido sales,3,396.78999999999996,25.243333333333336
BA,cansancao,7,766.96,33.05857142857143
BA,canudos,1,174.9,57.99
BA,capela do alto alegre,1,39.99,16.79
BA,capim grosso,5,547.89,22.578
BA,caraibas,1,235.9,13.9
BA,caravelas,3,356.4,36.79333333333333
BA,carinhanha,2,348.9,51.3
BA,carnaiba do sertao,1,54.98,22.06
BA,casa nova,7,1126.19,23.891666666666666
BA,castro alves,2,58.9,21.43
BA,catu,10,1486.97,25.115454545454543
BA,catu de abrantes,2,1135.99,53.29
BA,caturama,2,84.99,18.845
BA,central,1,119.5,23.39
BA,chorrocho,1,49.9,23.28
BA,cicero dantas,10,3010.05,49.84043478260869
BA,cipo,1,179.0,51.12
BA,coaraci,4,1201.8799999999999,66.56
BA,cocos,1,49.99,23.28
BA,conceicao da feira,2,603.99,66.32
BA,conceicao do almeida,1,99.0,21.14
BA,conceicao do coite,9,997.89,30.915
BA,conceicao do jacuipe,3,177.89,23.063333333333333
BA,conde,2,819.0,31.26
BA,condeuba,1,56.99,16.84
BA,coracao de maria,1,279.9,26.16
BA,cordeiros,1,322.75,40.89
BA,coribe,8,654.97,20.22625
BA,coronel joao sa,3,587.99,33.906666666666666
BA,correntina,2,130.99,19.04
BA,cotegipe,1,84.99,18.16
BA,cravolandia,1,139.9,47.93
BA,crisopolis,4,214.60000000000002,19.7425
BA,cristopolis,2,63.41,25.27
BA,cruz das almas,18,2007.24,23.9665
BA,curaca,3,308.9,77.77999999999999
BA,dario meira,2,138.99,43.135000000000005
BA,dias d avila,1,45.0,16.79
BA,dias d'avila,24,2493.44,22.781538461538464
BA,dom basilio,3,100.28,18.107499999999998
BA,dom macedo costa,1,55.9,26.93
BA,elisio medrado,2,79.82,19.465
BA,entre rios,6,1103.4,23.02
BA,erico cardoso,1,8.09,16.79
BA,esplanada,6,1660.9,29.488
BA,euclides da cunha,5,524.1800000000001,20.288
BA,eunapolis,38,6944.8,23.142380952380954
BA,fatima,2,451.9,23.459999999999997
BA,feira de santana,185,27652.19,24.43964467005076
BA,filadelfia,1,79.9,19.26
BA,formosa do rio preto,3,1398.1299999999999,32.86142857142857
BA,gandu,4,417.7,22.4375
BA,gentio do ouro,1,98.7,22.4
BA,gongogi,1,29.99,22.14
BA,governador mangabeira,1,98.0,18.26
BA,guanambi,38,4589.57,30.28725
BA,guaratinga,2,42.99,16.79
BA,heliopolis,1,149.0,20.28
BA,humildes,1,249.99,110.82
BA,iacu,4,340.7,39.7875
BA,ibiajara,1,45.0,20.8
BA,ibiassuce,2,164.5,26.96
BA,ibicarai,5,424.88,26.944
BA,ibicoara,3,299.2,20.213333333333335
BA,ibipeba,1,61.7,24.69
BA,ibipitanga,2,349.98,23.369999999999997
BA,ibiraja,2,277.95,26.095
BA,ibirapua,1,122.99,18.43
BA,ibirataia,2,52.8,19.46
BA,ibitiara,1,118.9,38.38
BA,ibitira,1,399.0,22.03
BA,ibitita,1,1450.0,84.58
BA,ibotirama,7,3032.39,22.31222222222222
BA,ichu,2,160.98000000000002,18.47
BA,igapora,1,39.99,16.79
BA,igrapiuna,1,29.99,22.06
BA,iguai,2,535.99,25.575
BA,ilheus,72,8906.74,24.268045977011496
BA,inhambupe,7,1117.78,32.74285714285714
BA,ipecaeta,1,23.4,16.79
BA,ipiau,8,787.21,21.487142857142857
BA,ipira,8,3332.68,27.81875
BA,ipupiara,1,495.0,30.85
BA,iramaia,2,154.9,22.235
BA,iraquara,5,390.8,19.971666666666668
BA,irara,2,171.89000000000001,25.465
BA,irece,13,1729.52,40.495217391304344
BA,itabatan,2,154.98000000000002,20.71
BA,itabela,4,423.89,26.52
BA,itaberaba,10,1089.16,19.703
BA,itabuna,62,8523.72,24.262686567164177
BA,itacare,8,841.39,23.925
BA,itagi,2,111.89000000000001,26.375
BA,itagiba,2,126.89000000000001,8.985
BA,itagimirim,1,129.9,63.16
BA,itaguacu da bahia,1,249.7,18.19
BA,itaju do colonia,1,39.9,16.79
BA,itajuipe,3,734.49,19.631666666666668
BA,itamaraju,12,1474.13,34.09916666666667
BA,itamari,3,268.98,18.669999999999998
BA,itambe,3,368.6,36.72
BA,itamira,2,55.9,22.15
BA,itanhem,1,230.0,48.66
BA,itaparica,1,168.49,19.87
BA,itape,1,230.0,28.56
BA,itapetinga,18,2727.12,23.283157894736842
BA,itapicuru,2,137.32999999999998,22.105
BA,itapitanga,3,205.70000000000002,19.463333333333335
BA,itarantim,3,478.97,19.15
BA,itatim,3,312.69,21.9425
BA,itirucu,3,653.28,64.03
BA,itiuba,4,272.89,28.6525
BA,itororo,2,619.2,22.5425
BA,ituacu,3,398.5,19.8925
BA,itubera,3,100.73,20.122500000000002
