year,month,total_orders,total_revenue,avg_shipping_days
2017,1,800,120312.87,12.64142457456087
2017,2,1780,247303.02,13.172741616582945
2017,3,2682,374344.3,12.983647115790282
2017,4,2404,359927.23,14.844663820228364
2017,5,3700,506071.14,11.453805117805164
2017,6,3245,433038.6,11.982161349691623
2017,7,4026,498031.48,11.436557724646068
2017,8,4331,573971.68,10.919038140639596
2017,9,4285,624401.6900000001,11.852501387813822
2017,10,4631,664219.43,11.704004041380756
2017,11,7544,1010271.37,15.044043969735313
2017,12,5673,743914.17,15.243376342794628
2018,1,7269,950030.36,14.097425446085007
2018,2,6728,844178.71,16.91034536889263
2018,3,7211,983213.4400000001,16.037130012207854
2018,4,6939,996647.75,11.327150391096346
2018,5,6873,996517.68,11.318065992969602
2018,6,6167,865124.31,9.117472737249523
2018,7,6292,895507.22,8.885663603528096
2018,8,6512,854686.33,7.696339607512161
2018,9,16,145.0,
2018,10,4,0.0,
